Location,BHK,sq_ft,bath,balcony,Price
Whitefield,3,1350,3,2,54
Rajiv Gandhi Nagar,2,1219,2,2,40
Goraguntepalya,4,1200,4,1,150
Sarjapura - Attibele Road,3,2400,3,3,85
Hormavu,2,1141,2,1,44.4
Anandapura,2,1151,2,1,43.1
Bommenahalli,3,832,3,1,77
Sarjapur  Road,2,915,2,1,38
Rajankunte,3,3259,3,0,270
Bannerghatta Road,2,1115,2,1,65.12
Thigalarapalya,3,2072,4,2,139
Kaggadasapura,2,1200,2,2,53
Singasandra,2,1300,2,2,65
Bellandur,2,1457,2,2,85
Kannamangala,2,1262,2,2,55
BEML Layout,4,1196,3,1,150
Ananth Nagar,2,900,2,2,22.5
Attibele,1,420,1,1,17
Kanakapura,2,1160,2,1,46.39
Kasavanhalli,2,1115,2,2,50
JP Nagar,3,1315,2,1,85.4
Babusapalaya,2,1500,2,2,57
HSR Layout,2,1127,2,1,68
Kundalahalli,3,1397,3,2,104
Whitefield,2,1173,2,1,60
Sompura,2,1090,2,2,28
Sarjapur  Road,3,2720,5,2,210
Jakkur,2,1230,2,1,76
6th Block Rajaji Nagar,4,3200,3,3,190
Sarjapur  Road,2,858,2,1,31.57
Talaghattapura,3,1868,3,1,121
Uttarahalli,3,1689.28,3,2,91.2
Vishwapriya Layout,4,600,3,2,73
Banashankari,3,1425,3,3,49.88
Subramanyapura,6,1200,6,2,170
Tindlu,2,1350,2,1,100
Channasandra,6,4200,6,0,180
Uttarahalli,3,1310,2,1,85
Haralur Road,4,2805,2,2,175
MLA Layout,2,970,2,1,40
Kundalahalli,3,1397,3,3,108
Sarjapur,2,1157,2,1,40
Kasavanhalli,2,1125,2,1,61.2
Sonnenahalli,2,1157,2,1,42
Sarjapur  Road,2,1241,2,1,82
Binny Pete,1,660,1,1,62
Marathahalli,4,4000,4,3,220
Rajiv Nagar,4,2340,4,1,148
Venkatadri Layout,1,596,1,1,42
Koramangala Industrial Layout,16,10000,16,2,550
Kyalasanahalli,4,1200,4,3,110
Ambedkar Colony,3,1910,3,1,190
Brookefield,2,1139,2,2,80
Thigalarapalya,4,3122,5,2,225
Sarjapura - Attibele Road,2,1033,2,2,28.41
Yeshwanthpur,2,1168,2,2,64.08
Chandapura,2,877,2,3,42
Electronics City Phase 1,2,1340,2,2,75
B Narayanapura,3,1405,2,2,70
Siddapura,3,1800,3,3,65
 Devarabeesana Halli,3,1750,3,3,149
Motappa Layout,3,1360,2,1,65
Malleshwaram,3,675,2,0,148
Byrasandra,2,985,2,1,63
Victoria Layout,2,1300,2,1,129
7th Phase JP Nagar,3,1850,3,2,150
Rustam Bagh Layout,3,1490,2,3,88
Byagadadhenahalli,2,620,1,1,25
Hormavu,2,1130,2,1,42.3
Yelachenahalli,2,1080,2,2,55
Singasandra,4,3126,4,3,120
Begur Road,3,1410,2,3,52.17
Bommanahalli,3,1375,3,2,59
Hennur Road,3,1290,2,1,94.5
Hosa Road,3,1318,2,1,85.28
Electronic City,2,1128,2,1,68
Meenakunte,4,4428,4,2,255
Kanakpura Road,2,1051,2,2,56.74
Kengeri,3,3500,5,0,275
Kannamangala,4,2400,4,1,130
Yelahanka,2,1327,2,3,85
Thigalarapalya,4,2912,6,2,210
Basapura,2,1301,2,2,55
Thippasandra,1,650,1,0,30
Varthur,3,1200,3,1,67.75
Banagiri Nagar,3,1500,2,2,89.99
Kumara Park,4,2700,6,2,675
Nagadevanahalli,4,1350,4,2,145
Electronic City Phase II,2,1000,2,1,28.88
Sarjapur  Road,2,984,2,1,45.91
Jakkur,3,1819.18,3,1,160
Nagarbhavi,1,900,1,0,175
Hebbal,3,1355,3,1,83.87
Sarakki Nagar,3,2145,4,1,270
Malleshwaram,3,2475,4,3,300
Kaggadasapura,2,1118,2,0,30
Roopena Agrahara,1,910,1,1,42
Madiwala,3,1250,3,2,39
Hosakerehalli,2,1304,2,3,100
Begur Road,3,1615,3,2,58
Sarjapur  Road,2,1400,2,2,68
CV Raman Nagar,2,1070,2,2,47.5
Hebbal,3,3500,3,3,395
Hoodi,2,1132,2,1,89.37
Rajarajeshwari Nagara,3,2000,3,2,85
Hebbal,7,2400,5,1,550
Sector 2 HSR Layout,1,794,1,2,65
Raja Rajeshwari Nagar,2,1090,2,2,43.59
Gottigere,3,1500,3,2,70
1st Phase JP Nagar,3,2059,3,2,225
Kanakpura Road,1,525,1,1,30
Bhoganhalli,2,1447,2,1,75.97
Whitefield,2,1269,2,1,75
KR Layout,4,4800,4,0,700
Kanakpura Road,2,1070,2,2,37.45
Talaghattapura,2,1150,2,0,28
Marathahalli,2,1208,2,2,70
Ramamurthy Nagar,2,1185,2,1,45.5
Laggere,3,1200,3,1,130
Anekal,2,888,2,1,34
Chandapura,2,1015,2,2,25.88
Celebrity Paradise Layout,1,532,1,1,22.49
St Thomas Town,3,1060,3,1,62
Electronic City,1,700,1,1,35
Ckikkakammana Halli,2,902,2,2,42
Banashankari 2nd Stage,6,600,3,3,95
Uttarahalli,2,1175,2,1,47
Binny Pete,2,1365,2,1,122
Doddathoguru,2,984,2,1,51
Hebbal,4,2700,2,2,100
Jalahalli East,3,1475,3,2,96
Haralur Road,2,1300,2,2,79
5th Block Hbr Layout,5,1200,6,1,220
Babusapalaya,3,1453,2,2,43.59
Munivenkatppa Layout,2,1550,2,3,160
Akshaya Nagar,3,1666,3,3,95
Akshaya Nagar,4,1410,4,2,160
Yelahanka,4,4025,5,3,800
Murugeshpalya,3,1845,3,3,91
Sarjapura - Attibele Road,3,1676,3,3,52
Uttarahalli,2,1137,2,1,63
Electronic City,3,1360,2,1,70.5
Vijaya Bank Layout,3,1374,2,2,70
Judicial Layout,3,1700,3,2,155
Whitefield,5,3227,5,0,250
Ferrar Nagar,4,2145,4,2,125
Koramangala,4,2400,6,3,600
Kasavanhalli,3,2170,3,2,151
Bank Of Baroda Colony,2,1080,2,1,55
Electronic City Phase II,3,1790,3,3,100
Doddathoguru,1,550,1,1,17
Poorna Pragna Layout,3,1270,2,2,50.79
Somasundara Palya,2,1033,2,2,48
Kamala Nagar,2,1000,2,1,80
Binny Pete,4,2940,6,2,280
Kumarapalli,2,1240,2,2,52.6
Kasturi Nagar,5,1650,5,1,450
Kambipura,2,883,2,1,39
Outer Ring Road East,3,1500,2,0,97
Marathahalli,3,1730,3,3,139
Kasavanhalli,3,1915,3,3,80
Whitefield,3,1545,3,2,79
Marenahalli,3,1865,4,2,140
Hebbal Kempapura,2,1150,2,2,40
HAL 3rd Stage,2,1200,2,2,49
Kengeri,2,963,2,2,40
Marsur,3,1200,3,1,120
Basavangudi,4,2600,4,3,260
Kaikondrahalli,4,1700,4,2,108
Lingadheeranahalli,3,1682,3,1,120
Yelahanka,3,1371,2,2,65
Hennur Road,2,901,2,1,49.5
Vishwapriya Layout,7,600,7,0,73
Ambalipura,3,1730,3,1,120
Konanakunte,4,1200,4,0,125
EPIP Zone,3,1500,3,3,102
Sarjapur  Road,4,3785,6,2,280
Nagawara Junction,4,3500,4,2,245
Lingarajapuram,2,1203,2,1,59.86
Horamavu Banaswadi,2,1357,2,2,54
Vasantha Vallabha Nagar,3,1600,3,2,76
Yelahanka New Town,1,350,1,1,13.5
Varthur,3,1665,3,1,53
Ramamurthy Nagar,3,1400,3,3,200
Sarjapur  Road,1,835,1,1,46.95
Chandra Layout,2,815,3,2,160
Haralur Road,3,1444,2,1,80
Kanakapura,2,1277,2,2,55
Lingadheeranahalli,3,1521,3,1,94.71
Maithri Layout,2,1134,2,1,40
Vasanthapura,2,995,2,1,34.82
Old Madras Road,3,2760,5,2,157
Marathahalli,2,1325,1,1,92
Kothanur,6,4000,6,2,150
Marathahalli,3,1525,3,2,90
Raja Rajeshwari Nagar 5th Stage,3,1320,2,2,73
Electronics City Phase 1,1,650,1,1,23
Old Airport Road,3,1858,2,1,167
Electronic City,2,1150,2,1,38
Electronic City Phase II,2,769,2,1,40
Electronic City,3,1571,3,2,105
Hennur Road,3,1445,3,1,86.56
Hosur Road,3,1590,2,2,135
Bommasandra,2,902,2,2,49
Sarjapur,3,2238,3,1,140
Electronic City,2,1090,2,1,31.49
Yelahanka,3,1712,3,3,82
Haralur Road,2,1088,2,1,68
Somasundara Palya,3,1575,3,3,63.1
Nanjappa Garden,6,2150,6,3,205
Kundalahalli,3,1920,3,2,150
Margondanahalli,2,1000,2,0,57
Chennammana Kere,2,1100,2,2,56.1
Electronic City,2,1089,2,2,45
Horamavu Agara,2,1106,2,1,43.09
Kengeri,2,927,2,2,37
Kanakpura Road,2,1339,2,2,58
Thanisandra,1,923,1,1,45.69
Sarjapur  Road,3,2900,3,2,285
Lakshminarayana Pura,2,1175,2,2,75
Thubarahalli,2,975,2,1,55
Hebbal,3,2400,4,1,180
Subramanyapura,3,1330,3,2,72
Thanisandra,2,1183,2,1,59.74
Harlur,3,1758,3,2,133
Nagarbhavi,3,1200,3,2,265
Hebbal,3,1255,2,1,77.68
Nagadevanahalli,3,600,4,2,110
Pai Layout,2,1100,2,2,50
Ramamurthy Nagar,2,1170,2,2,46.8
Vayunandana Layout,5,2400,5,2,120
Raja Rajeshwari Nagar,3,1530,3,3,51.77
Hebbal,2,1420,2,2,107
Geetanjali Layout,4,1200,4,2,300
7th Phase JP Nagar,6,1045,6,3,160
Kanakpura Road,3,1591,3,1,115
7th Phase JP Nagar,3,1680,3,2,120
Kenchenhalli,2,675,3,1,52
Hoodi,2,1055,2,1,57.63
Iblur Village,3,1918,3,2,129
Sarjapur  Road,2,1280,2,1,76
Nagarbhavi,3,1560,3,3,66
Sarjapur  Road,2,1145,2,2,49.5
Talaghattapura,3,2106,3,2,126
"EPIP AREA, WHITEFIELD",3,1801,3,2,139
Seegehalli,5,1200,5,3,120
Rajaji Nagar,2,1718,3,2,288
Whitefield,3,1306,3,2,54.65
Hebbal,2,1320,2,1,92
1st Stage Domlur,3,1350,2,2,65
"RMV extension stage 2, rmv extension",4,2990,4,2,324
Kalyan nagar,4,3800,5,3,300
Bannerghatta Road,3,1344,2,1,42
Bannerghatta Road,3,1893,3,2,100
Chandapura,3,1107,2,1,43
R.T. Nagar,9,1200,10,2,180
Lakshminarayana Pura,2,1190,2,1,75
Whitefield,2,1000,2,1,35
Kalhalli,2,2400,2,1,160
Kumaraswami Layout,2,1000,2,1,48.5
Jalahalli,3,2113,3,2,155
KR Puram,2,1100,2,1,46
Sector 2 HSR Layout,5,1200,4,1,160
Harlur,4,1884,4,2,120
Electronic City,2,1110,2,1,40
Kudlu,2,1027,2,2,43
Tavarekere,3,1250,3,2,40
Sarjapur  Road,3,1470,3,0,62
Kamakshipalya,2,1150,2,1,75
Hadosiddapura,3,1200,3,2,165
Kudlu Gate,1,703,1,1,52
Vijaya Bank Colony,3,1400,2,2,62
Bellandur,2,1195,2,2,51
Narayanapura,2,1302,2,1,69.1
Begur Road,3,1583,3,1,74.4
Kumarapalli,3,1488,2,3,60
Lakshmi Layout,4,600,5,2,85
Kammasandra,3,1385,2,2,34.63
Whitefield,4,3262,4,2,260
Electronic City,3,1600,3,2,104
Old Airport Road,2,1150,2,1,90
Lakkasandra,9,4500,9,2,166
Sarjapur  Road,2,1263,2,1,78
KR Puram,7,1200,8,2,110
Kanakpura Road,2,1299,2,2,85
Banashankari,2,1330,2,1,78
Devanahalli,3,1282,2,2,52.43
"JP Nagar 8th Phase, ",3,1853,3,2,82
Kachanayakanahalli,2,861,2,1,35
Bannerghatta Road,3,1600,3,2,95
Nagaraja Garden,2,1256,2,1,62.8
Tejaswini Nagar,3,1390,2,2,80
Ashwath Nagar,3,1550,2,2,90
1 Annasandrapalya,11,1200,6,3,150
Hebbal,2,919,2,1,49
Margondanahalli,3,1625,3,0,80
Gunjur,2,1195,2,2,44
Domlur,6,2400,4,1,600
Yelenahalli,2,1159,2,1,60
Whitefield,3,1386,3,1,57.46
Harlur,2,1197,2,1,79
Old Airport Road,4,2690,4,3,191
Jigani,4,3293,2,2,226
Bommasandra,3,1295,2,1,50.28
Huskur,3,1310,2,1,37.83
Whitefield,2,1132,2,1,79.28
6th block Koramangala,3,2350,3,2,400
4th Block Koramangala,4,2400,4,2,500
Hebbal,3,1645,3,2,135
Whitefield,2,1200,2,1,45.84
Whitefield,4,3000,4,0,330
Marathahalli,3,1937,3,2,140
Doddathoguru,2,1015,2,2,33.5
Nagadevanahalli,2,1080,2,2,39
Kathriguppe,3,1350,2,2,80.99
Kengeri Satellite Town,3,1149,2,2,29
Kothanur,2,1185,2,2,59
Domlur,3,1720,3,1,135
Hebbal,3,2080,3,3,175
Tindlu,3,1500,3,1,87
Yelahanka,3,1566,3,2,97
Rajaji Nagar,3,2386,3,2,334
KSRTC Layout,4,1500,4,0,110
KR Puram,2,1290,2,1,49.02
"JP nagar 9th Phase, ",3,1531,3,2,72
Keshava Nagar,3,1839,3,3,165
Dollars Layout,4,4200,4,1,760
Electronic City Phase II,3,1400,2,2,40.43
Electronic City,2,550,1,1,15
Whitefield,2,1140,2,2,39
Tumkur Road,3,1210,3,0,57.76
Banashankari Stage III,4,2000,4,0,100
Kaval Byrasandra,2,1100,2,1,46
Vignana Nagar,2,1200,2,2,55
Bannerghatta,3,1618,3,1,68
Whitefield,4,2830,5,2,160
Uttarahalli,3,1315,2,2,74
Anandapura,2,1141,2,1,42.75
AECS Layout,2,1080,2,2,55
HBR Layout,2,1200,2,2,60
Varthur,2,1111,2,2,41.88
NGR Layout,2,1022,2,1,45.9
Bannerghatta Road,2,1275,2,2,65
4th Block Jayanagar,2,900,2,1,70
Rachenahalli,2,1224,2,3,39.2
Battarahalli,2,1135,2,3,43
Rachenahalli,2,1050,2,2,52.1
Kudlu Gate,3,1535,3,2,86
Nagavarapalya,2,1392,2,1,130
Bellandur,2,1050,2,2,72
Hosa Road,3,1513,3,1,103
Gottigere,3,1621,3,3,72
Bannerghatta Road,2,892,2,1,39
Whitefield,2,1205,2,1,40
Hebbal,3,1355,3,2,83.87
2nd Block Hrbr Layout,5,1250,5,2,300
Kuvempu Nagar,7,1650,9,2,345
Karnataka Shabarimala,4,1200,6,3,70
Indira Nagar,2,1400,2,2,168
Kengeri,2,726,2,1,35
Singena Agrahara,3,1500,3,2,149
Hebbal,4,3895,4,2,405
Horamavu Agara,2,1079,2,2,41
Begur Road,2,1170,2,2,46
Doddathoguru,2,1104,2,2,39
Kanakpura Road,2,950,2,1,45
Hormavu,4,4818,4,3,390
Canara Bank Colony,3,1650,2,1,52
Kogilu,3,1559,3,2,127
Hanumagiri,2,1100,2,1,38
Benson Town,3,1750,3,3,150
Ramagondanahalli,2,1215,2,1,45.5
Talaghattapura,3,1868,3,1,135
Electronic City,2,1130,2,1,32.63
Kanakpura Road,3,1570,3,3,64.5
Sarjapur  Road,3,1691,3,1,98
Ardendale,5,4355,3,1,350
Hulimavu,2,1225,2,2,55
JP Nagar,3,1690,3,2,112
Thigalarapalya,2,1418,2,2,103
Kasturi Nagar,4,1896,3,1,125
Sonnenahalli,1,605,1,1,40
Begur Road,5,800,5,2,95
Electronic City Phase II,2,900,2,2,32.5
Cholanayakanahalli,1,750,2,0,50
Hoodi,3,780,3,1,62
Ananth Nagar,2,908,2,1,26
Sarjapur  Road,4,3369,6,0,143
Thanisandra,4,3216,4,1,226
BEML Layout,5,2400,4,1,225
Iblur Village,2,1400,2,2,68
Kudlu,2,1092,2,2,44
Hulimavu,2,1255,2,2,74
Electronic City,3,1500,2,1,100
Thanisandra,2,1296,2,2,72
Horamavu Banaswadi,2,925,2,3,38
Raja Rajeshwari Nagar,2,1023,2,2,42
Seshadripuram,2,600,3,2,75
Thanisandra,2,1020,2,1,44.5
Choodasandra,3,1530,3,2,77
Gubbalala,3,1650,3,2,71
Vijaya Bank Layout,3,1605,2,3,85
Hosakerehalli,2,1925,2,1,50
Kogilu,2,1190,2,2,50.66
Jakkur,3,1374,3,2,68
6th Phase JP Nagar,2,1140,2,2,65
Green Glen Layout,3,1725,3,2,130
Bisuvanahalli,3,1075,2,1,50
Kannamangala,3,1574,3,1,93.34
Sanjay nagar,1,965,1,1,32
Marathahalli,3,1550,3,2,83
Akshayanagara West,2,1205,2,2,60
Kambipura,3,1082,2,1,55
Uttarahalli,3,1215,2,2,52.85
Hebbal,4,2483,5,2,230
Prasanth Extension,2,1200,3,1,46.14
Chikkathoguru,1,1500,1,1,19.5
1st Block Koramangala,4,2360,4,2,600
Ardendale,4,3198,4,3,250
Kanakpura Road,3,1452,3,3,60.98
Electronic City Phase II,3,1329,2,2,41
Doctors Layout,2,1125,2,1,44
Anand nagar,2,1200,2,0,70
Sarjapur  Road,3,1350,3,3,39.97
Uttarahalli,3,1125,3,0,51.19
Hebbal,3,2600,3,2,195
West of Chord Road,2,1200,2,1,160
Electronic City Phase II,3,1220,3,1,35.23
Pai Layout,2,1255,2,1,80
Keshava Nagar,3,1904,3,3,155
Somasundara Palya,2,1329,2,2,70
Chandapura,2,1200,2,1,60
Murugeshpalya,3,2135,3,2,160
Ramakrishnappa Layout,3,2770,4,3,315
"Hoodi Circle, ",1,813,1,1,39
Junnasandra,4,3884,4,3,240
Doddaballapur,3,3876,3,1,300
Kalena Agrahara,2,800,2,2,30
Handenahalli,4,4750,2,1,120
Hormavu,3,1500,3,3,70
Bannerghatta Road,3,1880,3,2,95
Electronic City,3,1440,2,2,55
Akshaya Nagar,3,1575,3,2,90
Banagiri Nagar,3,1630,2,2,97.78
Yelahanka,3,1180,3,1,55
Nagadevanahalli,2,1090,2,1,36
NGR Layout,2,1020,2,2,48.45
"Sarjapur Road, ",4,2425,4,3,173
Varthur,2,1097,2,1,33.82
Raja Rajeshwari Nagar,2,1070,2,1,50
Kumaraswami Layout,2,1000,2,1,58
Hoodi,8,1120,8,2,150
manyata tech park,2,1150,2,1,56
Frazer Town,3,1900,4,2,145
Divya Unnathi Layout,2,1141,2,2,49
Jigani,2,937,2,1,44
Green Glen Layout,2,1075,2,1,60
Panathur,2,1000,2,1,65.3
Kasavanhalli,3,1450,3,2,77.41
Yelachenahalli,5,897,2,1,85
Ashwathnagar,2,936,2,2,43
Gopalkrishna Nagar,2,1280,2,1,75
Babusapalaya,2,1050,2,3,45
Marathahalli,2,1350,2,1,86
Mallasandra,2,1325,2,1,70
Devanahalli,2,1174,2,1,59
Hosur Road,3,1890,3,2,162
Wilson Garden,1,735,1,1,75
Sarvabhouma Nagar,1,500,1,0,24
Gottigere,3,1304,3,3,80
Yelahanka,3,1653,3,2,120
Bisuvanahalli,3,1075,2,1,52
7th Phase JP Nagar,2,1212,3,1,42
Hoysalanagar,2,1100,2,1,50
Rajaji Nagar,4,3436,6,3,500
SMV layout,3,1200,4,0,145
Billekahalli,2,1140,2,2,50
Roopena Agrahara,2,1200,2,1,100
Kudlu Gate,3,1532,3,2,83
Doddaballapur,3,2776,4,2,195
Padmanabhanagar,3,1531,2,0,75
Poorna Pragna Layout,3,1270,2,2,50.79
Uttarahalli,2,1325,2,1,53
CQAL LAYOUT C BLOCK,3,1200,3,1,160
Electronic City,3,1156,2,2,44
R.T. Nagar,4,2000,4,2,320
Bannerghatta Road,2,1260,2,2,70
Vittasandra,2,1934,2,0,90
Malleshpalya,2,1060,2,1,40
Kasavanhalli,3,1476,3,1,95
Murugeshpalya,2,1185,2,1,85
Channasandra Layout,3,1265,2,1,82
"Near Electronic City, ",4,3200,5,1,150
Virat Nagar,2,1196,2,2,56.81
EPIP Zone,2,1280,2,1,69
Marathahalli,4,800,4,2,86
Hulimavu,2,1175,2,3,45
Kacharakanahalli,3,1850,3,3,98
Indira Nagar,4,2400,4,2,525
Whitefield,2,1195,2,1,70
Ulsoor,3,2000,3,3,185
Veerannapalya,7,600,4,0,100
Hebbal Kempapura,4,800,5,3,155
Hosur Road,2,1180,2,2,36.5
Jakkur,2,1050,2,1,49.87
Electronic City,3,1400,2,1,40.44
Bagalakunte,4,2360,4,2,150
Banashankari stage 2,2,1030,2,1,77.25
Doddanakundi Industrial Area 2,2,1512,1,2,65.01
Subramanyapura,2,929,2,1,48
Jigani,3,1252,3,3,61
Green Glen Layout,3,1485,3,2,115
Electronics City Phase 1,3,1124,2,2,55
TC Palaya,6,2400,6,3,370
Indira Nagar,3,1407,3,1,120
Hennur Road,3,1482,2,3,97
Sector 7 HSR Layout,2,1163,2,1,98.86
Jalahalli,3,1570,3,2,140
Whitefield,3,3480,4,2,284
Chandapura,1,520,1,1,14.04
OLd Gurappanapalya,3,2000,3,2,160
Prithvi Layout,2,1352,2,2,75
Electronic City,2,1152,2,1,65
"ECC Road, Whitefield, ",3,1575,3,2,93
Hegde Nagar,3,1965,4,2,125
Ramanjaneyanagar,3,1300,2,2,70
Marathahalli,2,957,2,1,47
Hoskote,3,1740,3,3,60
Kanakpura Road,5,1080,6,3,65
Neeladri Nagar,2,1060,2,0,35
Chikkadunnasandra,2,975,2,2,50
Ramamurthy Nagar,2,1150,2,2,51
Whitefield,3,1738,2,3,79
Bommanahalli,3,1250,3,2,55
Bannerghatta Road,3,1788,3,2,90
Kanakapura,2,1151,2,1,59
Uttarahalli,3,1300,2,2,60
Garudachar Palya,2,1150,2,1,52.8
Akshya Nagar,2,1380,2,1,75
Hebbal,3,1645,3,2,117
Babusapalaya,2,1141,2,1,45.9
7th Phase JP Nagar,2,1175,2,2,82.5
Banashankari Stage V,3,1355,2,1,61
Dasarahalli,2,1150,2,0,70
Indranagar  100ft road defence colony,5,5800,5,3,80
Canara Bank Colony,2,1000,2,2,45
Balagere,2,1007,2,1,65
Wajid layout thanisandra,4,3000,5,2,100
Kothanur,3,1436,3,3,70
Marathahalli,4,4000,4,3,220
Somasundara Palya,3,2372,3,3,140
R.T. Nagar,6,1500,6,3,240
Rajaji Nagar,2,1200,2,0,150
Rayasandra,2,1016,2,1,58
Dodda Nekkundi,2,1100,2,2,48
B Channasandra,2,1080,2,1,45
Electronic City,2,1070,2,1,60
Kadubeesanahalli,3,1532,3,1,115
Hennur,2,1040,2,2,42.12
Laxmi Sagar Layout,3,3100,3,3,250
Thanisandra,3,1430,2,2,51.6
Rajaji Nagar,2,1160,1,0,163
ITPL,4,3262,5,2,205
Achins Road,7,2100,7,0,410
Uvce Layout,2,1190,2,2,100
Panduranga Nagar,3,1827,3,3,100
HRBR Layout,2,1210,2,1,75
New Thippasandra,3,1500,3,3,95
Rachenahalli,2,1050,2,2,53.5
Hebbal,2,1251,2,1,88.73
HSR Layout,3,1600,2,2,115
Electronic City,2,1128,2,1,65.5
Budigere,3,1820,3,2,93
Thigalarapalya,3,2072,4,2,159
Raja Rajeshwari Nagar,3,1510,2,3,59
Hoodi,3,1925,2,3,114
Hennur Road,3,2651,2,2,225
Thigalarapalya,3,2072,4,2,147
Kumaraswami Layout,2,1000,2,2,36
KR Puram,3,1752,3,2,145
Sahakara Nagar,2,960,2,3,56
Gattigere,2,1180,2,2,63
Benson Town,3,2270,3,1,180
NRI Layout,2,650,2,0,59
Lakshminarayana Pura,2,1200,2,1,75
Bisuvanahalli,3,1180,2,1,46
Roopena Agrahara,3,1300,3,2,47
Bannerghatta Road,2,1157,2,0,40
Kanakpura Road,3,1300,3,2,69
Banashankari Stage III,3,1305,2,1,59
Hegde Nagar,3,2006,4,2,196
Jakkur,2,1290,2,1,80
Hoskote,2,1170,2,3,45
Cottonpet,4,971,2,2,135
Yelachenahalli,2,1400,2,3,78
Lakshminarayana Pura,2,1200,2,2,75
Kamakshipalya,3,1155,2,0,60
Hormavu,3,1725,3,2,85
Kanakpura Road,2,700,2,1,40
Yemlur,4,7000,5,2,2050
Hoodi,2,1112,2,1,88
Somasundara Palya,2,1178,2,2,78
Badavala Nagar,2,1274,2,1,81
Doddathoguru,2,915,2,1,32
6th Phase JP Nagar,8,1650,6,2,135
Hosur Road,1,760,1,2,21.28
Maragondanahalli,3,1540,3,2,68
P&T Layout,2,1206,2,3,38.5
Basavanna Nagar,3,1645,3,2,95
Canara Bank Layout,4,1200,4,2,170
singapura paradise,4,1200,4,1,140
Nehru Nagar,4,2342,3,2,115
Kannur,3,1200,2,1,55
Yelenahalli,2,1056,2,2,33
Raja Rajeshwari Nagar,8,4800,8,2,225
Kanakpura Road,3,1450,3,3,54.3
Thirumenahalli,2,1161,2,2,36.69
Dollars Colony,2,1097,2,3,65
Uttarahalli,2,850,2,2,35
Green Glen Layout,3,1715,3,2,115
Basavangudi,3,2300,3,2,317
Electronic City,2,1200,2,1,59
8th Phase JP Nagar,2,1080,2,2,38
Kasavanhalli,2,1200,2,1,50.3
4th Block Koramangala,4,2400,4,0,550
Banashankari,3,1400,2,1,78
Whitefield,4,1500,4,3,200
Kanakpura Road,1,381,1,0,19.695
Marathahalli,2,1230,2,1,57
Kalyan nagar,3,1640,3,3,88
Banashankari,3,1700,3,2,125
Bommasandra,3,1478,2,2,44
Defence Colony,4,6600,4,2,986
Banashankari,2,1020,2,2,40.79
Nagarbhavi,2,1200,2,1,150
Yelahanka,3,1275,2,2,95
Cambridge Layout,4,1600,3,1,165
Kanakapura,2,1110,2,2,38.85
Uttarahalli,3,1627.86,3,2,88
Byagadadhenahalli,2,620,2,1,22
Whitefield,4,3004,4,2,285
Hosa Road,2,1133,2,1,52
Hennur Road,2,1182,2,2,82.5
Tumkur Road,3,1500,3,3,100
Hebbal Kempapura,4,3900,5,2,360
Marathahalli,2,1200,2,2,58
Raja Rajeshwari Nagar,2,1128,2,1,48.79
Malleshwaram,3,2215,2,2,293
Jayanagar,2,900,2,2,110
Amruthahalli,2,1100,2,1,45
Kengeri Satellite Town,2,635,1,1,22
Ardendale,4,2062,3,2,140
Thanisandra,3,1874,4,1,130
Vidyaranyapura,4,600,3,2,78
Old Madras Road,2,1171,2,2,75
Sarjapur,3,2020,3,3,85
8th Phase JP Nagar,2,1059,2,2,34.5
Panathur,3,1315,2,1,59.1
Jakkur,3,1760,3,2,110
Sampangi Rama Nagar,2,1200,2,1,125
Hennur Road,3,1192,2,1,62
Hebbal,3,1645,3,2,121
Whitefield,2,1250,2,2,72
Whitefield,1,524,1,0,34.385
Whitefield,2,1340,2,1,77
Cooke Town,3,2388,4,3,239
Hosa Road,2,1369.1,2,1,104
Jalahalli West,2,1355,2,3,75
Bannerghatta Road,2,1150,2,2,65
Kanakapura,3,1938,3,3,113
Begur Road,4,2462,4,3,124
Budigere,3,1636,3,2,85
Akshaya Nagar,3,1430,2,2,75
BEML Layout 5th stage,3,2000,3,2,85
Electronic City Phase II,3,993,2,2,50
Laggere,4,1260,4,1,150
Kanakpura Road,3,1700,3,3,88
Yelahanka,2,1270,2,2,78
Anjanapura,3,1500,3,1,121
Koramangala,3,2300,3,3,290
Hunasamaranahalli,4,7500,4,2,900
Marathahalli,3,1650,3,3,86.45
Panathur,2,1109,2,1,63
Pragathi Nagar,2,1280,2,1,49.75
Sarjapur,4,2885,3,1,185
Banashankari,9,1200,9,1,145
Devanahalli,3,1600,3,2,180
Kothanur,3,1462,3,3,71
Marathahalli,1,607,1,1,35
Kammasandra,2,930,2,0,25
Varthur,4,4500,5,2,300
Sahakara Nagar,5,1200,5,2,160
Malleshwaram,3,2600,3,1,237
JP Nagar,4,3000,4,2,140
Electronic City Phase II,3,1418,3,2,52.47
Ramesh Nagar,2,4200,1,2,160
EPIP Zone,2,1125,2,1,65
CV Raman Nagar,3,1825,3,2,126
Whitefield,2,1320,2,3,79.5
JP Nagar,4,3000,4,2,140
HAL 2nd Stage,3,1490,2,2,300
8th block Koramangala,4,1650,3,1,300
Whitefield,2,750,2,1,52.7
Yelahanka,3,1400,2,2,80.54
Sathya Sai Layout,4,4104,4,3,360
Rajaji Nagar,4,5000,4,0,375
Mahadevpura,5,3295,4,2,260
A Narayanapura,4,1150,3,1,110
Whitefield,3,1200,3,1,61.96
Poorna Pragna Layout,2,965,2,2,48
Gottigere,1,812,1,1,26
